name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,19.91623712644981,1.28
2_DecisionTree,Decision Tree,rmse,12.634576236636063,83.08
3_Default_Xgboost,Xgboost,rmse,11.392188294085631,188.64
4_Default_NeuralNetwork,Neural Network,rmse,13.345969507563842,105.8
5_Default_RandomForest,Random Forest,rmse,12.277157427430046,167.22
Ensemble,Ensemble,rmse,11.392188289473296,0.28
